time,records_inserted,latency_ms
2026-02-27 13:02:24,660,126.79
2026-02-27 13:02:29,730,131.33
2026-02-27 13:02:34,710,100.17
2026-02-27 13:02:39,700,135.5
2026-02-27 13:02:44,740,109.9
2026-02-27 13:02:49,570,106.89
2026-02-27 13:02:54,890,119.87
2026-02-27 13:02:59,700,115.21
2026-02-27 13:03:04,620,124.42
2026-02-27 13:03:09,890,110.53
2026-02-27 13:03:14,760,105.99
2026-02-27 13:03:19,490,159.9
2026-02-27 13:03:24,710,111.84
2026-02-27 13:03:29,760,112.07
2026-02-27 13:03:34,660,146.63
2026-02-27 13:03:39,780,109.81
2026-02-27 13:03:44,760,95.58
2026-02-27 13:03:49,770,119.45
2026-02-27 13:03:54,560,158.18
2026-02-27 13:03:59,750,111.13
2026-02-27 13:04:04,670,123.99
2026-02-27 13:04:09,620,138.25
2026-02-27 13:04:14,760,110.06
2026-02-27 13:04:19,690,118.52
2026-02-27 13:04:24,640,145.36
2026-02-27 13:04:29,620,115.42
2026-02-27 13:04:34,800,114.94
2026-02-27 13:04:39,710,141.44
2026-02-27 13:04:44,580,143.48
2026-02-27 13:04:49,720,110.87
2026-02-27 13:04:54,660,132.22
2026-02-27 13:04:59,720,125.42
2026-02-27 13:05:04,640,101.06
2026-02-27 13:05:09,880,126.17
2026-02-27 13:05:14,580,130.44
2026-02-27 13:05:19,710,125.6
2026-02-27 13:05:24,740,116.02
2026-02-27 13:05:29,550,141.11
2026-02-27 13:05:34,760,122.15
2026-02-27 13:05:39,780,98.86
2026-02-27 13:05:44,760,128.11
2026-02-27 13:05:49,720,114.16
2026-02-27 13:05:54,610,138.31
2026-02-27 13:05:59,740,121.07
2026-02-27 13:06:04,570,128.21
2026-02-27 13:06:09,790,115.53
2026-02-27 13:06:14,630,136.64
2026-02-27 13:06:19,690,126.19
2026-02-27 13:06:24,730,120.21
2026-02-27 13:06:29,830,109.15
2026-02-27 13:06:34,700,121.42
2026-02-27 13:06:39,540,135.3
2026-02-27 13:06:44,680,100.74
2026-02-27 13:06:49,870,130.35
2026-02-27 13:06:54,610,125.59
2026-02-27 13:06:59,660,119.15
2026-02-27 13:07:04,740,119.34
2026-02-27 13:07:09,710,140.33
2026-02-27 13:07:14,750,111.93
2026-02-27 13:07:19,720,97.13
2026-02-27 13:07:24,670,131.99
2026-02-27 13:07:29,720,129.34
2026-02-27 13:07:34,690,108.08
2026-02-27 13:07:39,850,107.21
2026-02-27 13:07:44,530,147.81
2026-02-27 13:07:49,670,114.35
2026-02-27 13:07:54,830,117.01
2026-02-27 13:07:59,770,117.76
2026-02-27 13:08:04,720,111.66
2026-02-27 13:08:09,630,140.5
2026-02-27 13:08:14,820,99.58
2026-02-27 13:08:19,500,155.8
2026-02-27 13:08:24,690,117.62
2026-02-27 13:08:29,790,117.26
2026-02-27 13:08:34,670,142.09
2026-02-27 13:08:39,620,114.95
2026-02-27 13:08:44,700,139.23
2026-02-27 13:08:49,720,124.9
2026-02-27 13:08:54,710,105.72
2026-02-27 13:08:59,730,110.52
2026-02-27 13:09:04,830,110.17
2026-02-27 13:09:09,470,177.32
2026-02-27 13:09:14,900,106.78
2026-02-27 13:09:19,700,107.97
2026-02-27 13:09:24,660,131.24
2026-02-27 13:09:29,590,125.04
2026-02-27 13:09:34,830,117.64
2026-02-27 13:09:39,610,138.62
2026-02-27 13:09:44,760,111.55
2026-02-27 13:09:49,740,113.44
2026-02-27 13:09:54,780,104.45
2026-02-27 13:09:59,480,153.05
2026-02-27 13:10:04,810,125.37
2026-02-27 13:10:09,720,103.11
2026-02-27 13:10:14,770,122.39
2026-02-27 13:10:19,620,125.69
2026-02-27 13:10:24,710,114.54
2026-02-27 13:10:29,750,121.34
2026-02-27 13:10:34,760,130.42
2026-02-27 13:10:39,570,135.75
2026-02-27 13:10:44,780,103.92
2026-02-27 13:10:49,670,145.03
2026-02-27 13:10:54,730,117.63
2026-02-27 13:10:59,630,111.83
2026-02-27 13:11:04,690,140.45
2026-02-27 13:11:09,720,124.14
2026-02-27 13:11:14,630,94.49
2026-02-27 13:11:19,760,142.5
2026-02-27 13:11:24,730,107.76
2026-02-27 13:11:29,630,130.51
2026-02-27 13:11:34,840,119.35
2026-02-27 13:11:39,490,177.65
2026-02-27 13:11:44,500,136.14
2026-02-27 13:11:49,810,122.09
2026-02-27 13:11:54,600,126.06
2026-02-27 13:11:59,870,107.48
2026-02-27 13:12:04,700,118.96
2026-02-27 13:12:09,690,132.1
2026-02-27 13:12:14,640,116.55
2026-02-27 13:12:19,760,97.78
2026-02-27 13:12:24,800,129.32
2026-02-27 13:12:29,650,139.14
2026-02-27 13:12:34,600,121.18
2026-02-27 13:12:39,650,127.25
2026-02-27 13:12:44,690,141.45
2026-02-27 13:12:49,710,104.89
2026-02-27 13:12:54,830,112.16
2026-02-27 13:12:59,620,140.93
2026-02-27 13:13:04,750,110.18
2026-02-27 13:13:09,680,113.06
2026-02-27 13:13:14,740,123.46
2026-02-27 13:13:19,600,145.61
2026-02-27 13:13:24,680,100.24
2026-02-27 13:13:29,730,135.87
2026-02-27 13:13:34,740,108.87
2026-02-27 13:13:39,680,133.88
2026-02-27 13:13:44,770,111.03
2026-02-27 13:13:49,600,139.24
2026-02-27 13:13:54,650,126.1
2026-02-27 13:13:59,750,110.37
2026-02-27 13:14:04,710,144.24
2026-02-27 13:14:09,720,123.79
2026-02-27 13:14:14,570,116.17
2026-02-27 13:14:19,800,121.9
2026-02-27 13:14:24,580,131.18
2026-02-27 13:14:29,750,121.89
2026-02-27 13:14:34,780,111.68
2026-02-27 13:14:39,640,122.56
2026-02-27 13:14:44,630,121.65
2026-02-27 13:14:49,780,117.88
2026-02-27 13:14:54,670,148.9
2026-02-27 13:14:59,560,120.65
2026-02-27 13:15:04,810,112.89
2026-02-27 13:15:09,710,144.12
2026-02-27 13:15:14,590,135.89
2026-02-27 13:15:19,770,96.36
2026-02-27 13:15:24,700,135.23
2026-02-27 13:15:29,660,137.14
2026-02-27 13:15:34,690,101.12
