date,time,cpu_tot,cpu,cpu_usr,cpu_sys,mem_tot,mem_vsz,mem_rss,net_in,net_out
2026-03-01,15:34:40,8.000,2.636,1.227,1.410,17179869184.0,6764573491.2,554591846.4,287309824.0,17301504.0
2026-03-01,15:34:41,8.000,2.453,1.089,1.364,17179869184.0,7086696038.4,554591846.4,270113177.6,402841.6
2026-03-01,15:34:42,8.000,2.531,1.050,1.481,17179869184.0,7408818585.6,554591846.4,349700096.0,17301504.0
2026-03-01,15:34:43,8.000,2.805,1.294,1.511,17179869184.0,7838315315.2,554801561.6,286051532.8,67528294.4
2026-03-01,15:34:44,8.000,2.431,1.003,1.428,17179869184.0,8053063680.0,556898713.6,271790899.2,101502156.8
2026-03-01,15:34:45,8.000,2.872,1.264,1.609,17179869184.0,8482560409.6,563295027.2,364170444.8,84515225.6
2026-03-01,15:34:46,8.000,2.920,1.104,1.816,17179869184.0,8804682956.8,569481625.6,300731596.8,84515225.6
2026-03-01,15:34:47,8.000,2.906,1.194,1.712,17179869184.0,9126805504.0,571578777.6,276614348.8,84515225.6
2026-03-01,15:34:48,8.000,3.106,1.157,1.949,17179869184.0,9448928051.2,575773081.6,279130931.2,50646220.8
2026-03-01,15:34:49,8.000,2.779,1.051,1.728,17179869184.0,9663676416.0,575773081.6,274097766.4,67528294.4
2026-03-01,15:34:50,8.000,2.681,1.000,1.681,17179869184.0,9985798963.2,575773081.6,265499443.2,84305510.4
2026-03-01,15:34:51,8.000,2.851,1.061,1.790,17179869184.0,10307921510.4,575773081.6,283220377.6,94896128.0
2026-03-01,15:34:52,8.000,2.748,0.897,1.851,17179869184.0,10522669875.2,575773081.6,275670630.4,83781222.4
2026-03-01,15:34:53,8.000,2.926,1.076,1.850,17179869184.0,10844792422.4,575773081.6,266023731.2,90701824.0
2026-03-01,15:34:54,8.000,5.329,3.884,1.445,17179869184.0,11059540787.2,575877939.2,263192576.0,18035507.2
2026-03-01,15:34:55,8.000,5.260,2.955,2.305,17179869184.0,11166914969.6,614570393.6,172385894.4,12687769.6
2026-03-01,15:34:56,8.000,3.483,0.900,2.583,17179869184.0,11166914969.6,633444761.6,278606643.2,82313216.0
2026-03-01,15:34:57,8.000,3.803,0.850,2.953,17179869184.0,11166914969.6,633444761.6,203004313.6,83256934.4
2026-03-01,15:34:58,8.000,4.832,1.178,3.654,17179869184.0,11166914969.6,644035379.2,356725555.2,87870668.8
2026-03-01,15:34:59,8.000,3.341,0.770,2.570,17179869184.0,11166914969.6,648229683.2,189582540.8,84620083.2
2026-03-01,15:35:00,8.000,4.344,1.005,3.339,17179869184.0,11166914969.6,648229683.2,288777830.4,85039513.6
2026-03-01,15:35:01,8.000,4.228,1.317,2.911,17179869184.0,11166914969.6,652214272.0,286890393.6,42991616.0
2026-03-01,15:35:02,8.000,3.903,0.998,2.905,17179869184.0,11166914969.6,658191155.2,270532608.0,88604672.0
2026-03-01,15:35:03,8.000,3.611,0.927,2.684,17179869184.0,11274289152.0,661651456.0,201116876.8,88185241.6
2026-03-01,15:35:04,8.000,5.053,1.442,3.611,17179869184.0,11166914969.6,627258163.2,344981504.0,84515225.6
2026-03-01,15:35:05,8.000,3.632,0.798,2.834,17179869184.0,11166914969.6,623168716.8,186017382.4,84095795.2
2026-03-01,15:35:06,8.000,4.141,1.137,3.004,17179869184.0,11166914969.6,619288985.6,282696089.6,50751078.4
2026-03-01,15:35:07,8.000,4.346,1.132,3.214,17179869184.0,11166914969.6,619288985.6,355047833.6,17511219.2
2026-03-01,15:35:08,8.000,4.478,1.100,3.378,17179869184.0,11274289152.0,621386137.6,297271296.0,59559116.8
2026-03-01,15:35:09,8.000,4.541,1.338,3.203,17179869184.0,11274289152.0,637953638.4,272210329.6,88080384.0
2026-03-01,15:35:10,8.000,4.425,1.186,3.239,17179869184.0,11274289152.0,640155648.0,270113177.6,88814387.2
2026-03-01,15:35:11,8.000,4.474,1.221,3.254,17179869184.0,11274289152.0,640155648.0,358193561.6,84305510.4
2026-03-01,15:35:12,8.000,4.913,1.308,3.605,17179869184.0,11274289152.0,657037721.6,278606643.2,89967820.8
2026-03-01,15:35:13,8.000,4.471,1.190,3.281,17179869184.0,11274289152.0,657037721.6,282171801.6,44564480.0
2026-03-01,15:35:14,8.000,4.213,1.156,3.057,17179869184.0,11274289152.0,657142579.2,299053875.2,83990937.6
2026-03-01,15:35:15,8.000,4.362,0.981,3.381,17179869184.0,11274289152.0,657142579.2,287519539.2,83781222.4
2026-03-01,15:35:16,8.000,4.218,1.278,2.940,17179869184.0,11274289152.0,661336883.2,266757734.4,85668659.2
2026-03-01,15:35:17,8.000,4.467,1.323,3.144,17179869184.0,11381663334.4,663434035.2,283010662.4,84410368.0
2026-03-01,15:35:18,8.000,4.304,0.972,3.332,17179869184.0,11381663334.4,667733196.8,274097766.4,91016396.8
2026-03-01,15:35:19,8.000,4.232,1.031,3.201,17179869184.0,11381663334.4,667838054.4,277558067.2,27367833.6
2026-03-01,15:35:20,8.000,4.042,1.019,3.023,17179869184.0,11381663334.4,667942912.0,270113177.6,17301504.0
2026-03-01,15:35:21,8.000,4.253,1.008,3.245,17179869184.0,11381663334.4,667942912.0,286261248.0,84095795.2
2026-03-01,15:35:22,8.000,4.377,1.316,3.061,17179869184.0,11381663334.4,668047769.6,291084697.6,84934656.0
2026-03-01,15:35:23,8.000,4.995,1.400,3.596,17179869184.0,11381663334.4,668047769.6,353265254.4,89128960.0
2026-03-01,15:35:24,8.000,6.442,4.237,2.205,17179869184.0,11381663334.4,670249779.2,260780851.2,87975526.4
2026-03-01,15:35:25,8.000,3.910,1.158,2.752,17179869184.0,11381663334.4,670459494.4,210554060.8,58091110.4
2026-03-01,15:35:26,8.000,2.871,0.746,2.125,17179869184.0,11381663334.4,670459494.4,169030451.2,16882073.6
2026-03-01,15:35:27,8.000,5.113,1.260,3.852,17179869184.0,11381663334.4,670564352.0,362387865.6,84200652.8
2026-03-01,15:35:28,8.000,4.545,1.169,3.376,17179869184.0,11489037516.8,670564352.0,269903462.4,83781222.4
2026-03-01,15:35:29,8.000,3.126,0.788,2.338,17179869184.0,11489037516.8,670669209.6,214643507.2,84934656.0
2026-03-01,15:35:30,8.000,5.201,1.228,3.973,17179869184.0,11489037516.8,670669209.6,347812659.2,93323264.0
2026-03-01,15:35:31,8.000,4.652,1.300,3.352,17179869184.0,11489037516.8,670669209.6,269903462.4,84620083.2
2026-03-01,15:35:32,8.000,4.290,1.336,2.955,17179869184.0,11489037516.8,674968371.2,303248179.2,38482739.2
2026-03-01,15:35:33,8.000,4.975,1.358,3.617,17179869184.0,11489037516.8,674968371.2,336802611.2,87660953.6
2026-03-01,15:35:34,8.000,4.228,1.197,3.030,17179869184.0,11489037516.8,674968371.2,316565094.4,84829798.4
2026-03-01,15:35:35,8.000,3.967,0.949,3.018,17179869184.0,11489037516.8,675073228.8,261934284.8,84200652.8
2026-03-01,15:35:36,8.000,4.463,1.039,3.425,17179869184.0,11489037516.8,675073228.8,265709158.4,93742694.4
2026-03-01,15:35:37,8.000,4.290,1.044,3.245,17179869184.0,11489037516.8,675178086.4,273573478.4,58300825.6
2026-03-01,15:35:38,8.000,4.358,1.064,3.294,17179869184.0,11489037516.8,675178086.4,288358400.0,17196646.4
2026-03-01,15:35:39,8.000,4.530,1.330,3.200,17179869184.0,11489037516.8,677275238.4,268016025.6,49702502.4
2026-03-01,15:35:40,8.000,4.466,1.278,3.188,17179869184.0,11489037516.8,677694668.8,256062259.2,84410368.0
