date,time,rIOPS,wIOPS,r_per_s,w_per_s,used,free,total
2026-03-01,15:35:14,676.0,2475.0,87975526.4,1288490188.8,29205777612.8,21880281392742.4,21990232555520.0
2026-03-01,15:35:15,812.0,2165.0,105381888.0,1288490188.8,29850022707.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:16,792.0,1988.0,102865305.6,1073741824.0,30386893619.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:17,773.0,2263.0,100663296.0,1181116006.4,30923764531.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:18,769.0,947.0,99719577.6,659239731.2,31460635443.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:19,363.0,2730.0,46766489.6,1395864371.2,32104880537.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:20,261.0,6755.0,33135001.6,1610612736.0,32749125632.0,21880281392742.4,21990232555520.0
2026-03-01,15:35:21,784.0,859.0,101711872.0,659239731.2,33285996544.0,21880281392742.4,21990232555520.0
2026-03-01,15:35:22,817.0,2904.0,106011033.6,1503238553.6,33930241638.4,21880281392742.4,21990232555520.0
2026-03-01,15:35:23,772.0,882.0,100034150.4,677904384.0,34574486732.8,21880281392742.4,21990232555520.0
2026-03-01,15:35:24,761.0,2984.0,99090432.0,1503238553.6,35111357644.8,21880281392742.4,21990232555520.0
2026-03-01,15:35:25,638.0,987.0,82732646.4,688704716.8,35755602739.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:26,197.0,6503.0,25585254.4,925997465.6,36077725286.4,21880281392742.4,21990232555520.0
2026-03-01,15:35:27,694.0,3349.0,89967820.8,1395864371.2,36721970380.8,21880281392742.4,21990232555520.0
2026-03-01,15:35:28,768.0,1828.0,99719577.6,1073741824.0,37366215475.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:29,787.0,3315.0,101921587.2,1181116006.4,37903086387.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:30,777.0,1051.0,101082726.4,720161996.8,38547331481.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:31,749.0,2984.0,97517568.0,1288490188.8,39191576576.0,21880281392742.4,21990232555520.0
2026-03-01,15:35:32,416.0,2114.0,54106521.6,1288490188.8,39835821670.4,21880281392742.4,21990232555520.0
2026-03-01,15:35:33,804.0,3288.0,103913881.6,1288490188.8,40587440947.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:34,765.0,2899.0,99195289.6,1395864371.2,41231686041.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:35,770.0,1663.0,99719577.6,1073741824.0,41768556953.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:36,761.0,3212.0,98985574.4,1181116006.4,42305427865.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:37,628.0,2733.0,81788928.0,1395864371.2,42949672960.0,21880281392742.4,21990232555520.0
2026-03-01,15:35:38,230.0,1028.0,29884416.0,754660147.2,43593918054.4,21880281392742.4,21990232555520.0
2026-03-01,15:35:39,420.0,2162.0,53896806.4,1181116006.4,44238163148.8,21880281392742.4,21990232555520.0
2026-03-01,15:35:40,799.0,3260.0,103809024.0,1288490188.8,44882408243.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:41,777.0,3387.0,100768153.6,1395864371.2,45419279155.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:42,749.0,1084.0,97202995.2,691955302.4,46063524249.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:43,777.0,1834.0,99300147.2,1073741824.0,46600395161.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:44,637.0,3325.0,82942361.6,1288490188.8,47244640256.0,21880281392742.4,21990232555520.0
2026-03-01,15:35:45,214.0,2969.0,27892121.6,1288490188.8,47781511168.0,21880281392742.4,21990232555520.0
2026-03-01,15:35:46,584.0,2307.0,75916902.4,1288490188.8,48425756262.4,21880281392742.4,21990232555520.0
2026-03-01,15:35:47,782.0,2877.0,101711872.0,1073741824.0,49070001356.8,21880281392742.4,21990232555520.0
2026-03-01,15:35:48,777.0,1201.0,100873011.2,694786457.6,49606872268.8,21880281392742.4,21990232555520.0
