datetime,insert_total,insert_original,insert_duplicate,insert_avg_latency_ms,query_count,query_failed,query_avg_latency_ms
2026-03-01 11:49:47,620,468,152,71.36,1502,0,66.61
2026-03-01 11:49:52,780,682,98,130.13,1636,0,60.77
2026-03-01 11:49:57,520,270,250,84.41,1508,0,65.99
2026-03-01 11:50:02,940,690,250,127.52,1322,0,75.88
2026-03-01 11:50:07,580,580,0,143.24,1436,0,69.79
2026-03-01 11:50:12,860,610,250,93.14,1488,0,67.16
2026-03-01 11:50:17,840,590,250,108.13,1206,0,82.83
2026-03-01 11:50:22,740,490,250,69.47,1470,0,68.71
2026-03-01 11:50:27,320,308,12,89.7,1498,0,66.21
2026-03-01 11:50:32,740,502,238,148.12,1636,0,61.57
2026-03-01 11:50:37,1020,770,250,95.92,1412,0,70.59
2026-03-01 11:50:42,600,508,92,125.24,1470,0,68.06
2026-03-01 11:50:47,840,662,178,72.52,1456,0,68.64
2026-03-01 11:50:52,960,730,230,85.47,1560,0,63.94
2026-03-01 11:50:57,700,450,250,60.51,1426,0,70.24
2026-03-01 11:51:02,780,530,250,58.07,1496,0,65.56
2026-03-01 11:51:07,480,480,0,131.09,1592,0,63.98
2026-03-01 11:51:12,1020,770,250,74.95,1522,0,65.88
2026-03-01 11:51:17,460,210,250,69.04,1262,0,79.01
2026-03-01 11:51:22,900,668,232,101.64,1524,0,66.07
2026-03-01 11:51:27,560,542,18,141.23,1620,0,61.52
2026-03-01 11:51:32,1080,830,250,79.21,1332,0,75.1
2026-03-01 11:51:37,520,270,250,54.07,1314,0,75.24
2026-03-01 11:51:42,560,560,0,154.09,1512,0,66.17
2026-03-01 11:51:47,940,690,250,82.7,1528,0,65.85
2026-03-01 11:51:52,580,330,250,64.44,1366,0,73.08
2026-03-01 11:51:57,740,530,210,83.21,1236,0,80.48
2026-03-01 11:52:02,600,560,40,118.97,1464,0,68.76
2026-03-01 11:52:07,640,390,250,153.15,1482,0,67.62
2026-03-01 11:52:12,880,630,250,66.52,1390,0,72.16
2026-03-01 11:52:17,720,668,52,123.03,1416,0,70.06
2026-03-01 11:52:22,420,222,198,179.71,1786,0,56.19
2026-03-01 11:52:27,760,550,210,127.21,1442,0,69.06
2026-03-01 11:52:32,720,680,40,84.44,1226,0,81.04
2026-03-01 11:52:37,780,530,250,130.97,1474,0,64.72
2026-03-01 11:52:42,720,470,250,107.5,1334,0,79.53
2026-03-01 11:52:47,980,730,250,92.46,1146,0,87.47
2026-03-01 11:52:52,580,560,20,72.37,1400,0,70.02
2026-03-01 11:52:57,580,350,230,124.03,1334,0,75.81
2026-03-01 11:53:02,840,590,250,100.4,1416,0,70.61
2026-03-01 11:53:07,700,568,132,65.33,1484,0,67.76
2026-03-01 11:53:12,340,222,118,85.03,1566,0,63.17
2026-03-01 11:53:17,660,548,112,150.76,1444,0,70.26
2026-03-01 11:53:22,1000,730,270,104.12,1250,0,77.98
2026-03-01 11:53:27,760,642,118,66.11,1392,0,73.63
2026-03-01 11:53:32,780,530,250,106.82,1472,0,67.64
2026-03-01 11:53:37,840,590,250,111.85,1466,0,68.11
2026-03-01 11:53:42,660,488,172,58.8,1398,0,69.7
2026-03-01 11:53:47,520,442,78,70.56,1486,0,68.99
2026-03-01 11:53:52,900,650,250,104.11,1376,0,72.72
2026-03-01 11:53:57,640,408,232,112.42,1398,0,71.2
2026-03-01 11:54:02,680,662,18,68.66,1380,0,72.84
2026-03-01 11:54:07,500,250,250,69.18,1350,0,73.67
2026-03-01 11:54:12,440,440,0,182.24,1774,0,56.48
2026-03-01 11:54:17,1000,750,250,112.44,1254,0,79.51
2026-03-01 11:54:22,1000,750,250,72.41,1356,0,74.4
2026-03-01 11:54:27,420,170,250,115.93,1404,0,69.25
2026-03-01 11:54:32,980,730,250,102.47,1388,0,73.76
2026-03-01 11:54:37,640,640,0,116.42,1446,0,68.92
2026-03-01 11:54:42,480,230,250,73.83,1336,0,75.08
2026-03-01 11:54:47,880,630,250,113.9,1336,0,74.51
2026-03-01 11:54:52,600,600,0,121.39,1642,0,60.64
2026-03-01 11:54:57,960,710,250,83.8,1306,0,77.65
2026-03-01 11:55:02,500,250,250,65.94,1408,0,70.32
2026-03-01 11:55:07,960,710,250,111.77,1416,0,70.42
2026-03-01 11:55:12,280,280,0,65.31,1512,0,66.79
2026-03-01 11:55:17,920,670,250,122.18,1432,0,69.33
2026-03-01 11:55:22,820,570,250,104.66,1282,0,78.46
2026-03-01 11:55:27,500,500,0,129.59,1522,0,65.74
2026-03-01 11:55:32,800,550,250,117.79,1440,0,69.0
2026-03-01 11:55:37,720,470,250,75.2,1446,0,68.89
2026-03-01 11:55:42,960,710,250,87.24,1274,0,79.67
2026-03-01 11:55:47,640,640,0,76.55,1514,0,65.79
2026-03-01 11:55:52,740,490,250,56.41,1424,0,70.34
